"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4961","Add multiple products to cart and remove one","firefox","Thu Oct 09 16:03:12 UTC 2025","passed","Thu Oct 09 16:03:17 UTC 2025","Shopping cart functionality","e2e/shopping.spec.js","",""
"","10694","Add multiple products to cart and remove one","webkit","Thu Oct 09 16:05:23 UTC 2025","passed","Thu Oct 09 16:05:33 UTC 2025","Shopping cart functionality","e2e/shopping.spec.js","",""
"","10018","Successful login and logout","webkit","Thu Oct 09 16:05:23 UTC 2025","passed","Thu Oct 09 16:05:33 UTC 2025","Login and logout functionality","e2e/login.spec.js","",""
"","4993","Complete checkout process with generated user data","firefox","Thu Oct 09 16:03:13 UTC 2025","passed","Thu Oct 09 16:03:18 UTC 2025","Checkout flow","e2e/checkout.spec.js","",""
"","2077","Successful login and logout","chromium","Thu Oct 09 16:04:44 UTC 2025","passed","Thu Oct 09 16:04:46 UTC 2025","Login and logout functionality","e2e/login.spec.js","",""
"","540","should delete a pet and validate status code","api","Thu Oct 09 16:04:50 UTC 2025","passed","Thu Oct 09 16:04:50 UTC 2025","DELETE Pet Test","api/deletePet.spec.js","",""
"","4863","Successful login and logout","firefox","Thu Oct 09 16:03:12 UTC 2025","passed","Thu Oct 09 16:03:17 UTC 2025","Login and logout functionality","e2e/login.spec.js","",""
"","2007","Add multiple products to cart and remove one","chromium","Thu Oct 09 16:04:44 UTC 2025","passed","Thu Oct 09 16:04:46 UTC 2025","Shopping cart functionality","e2e/shopping.spec.js","",""
"","406","should create a pet and validate status code and model","api","Thu Oct 09 16:04:50 UTC 2025","passed","Thu Oct 09 16:04:50 UTC 2025","CREATE Pet Test","api/createPet.spec.js","",""
"","11182","Complete checkout process with generated user data","webkit","Thu Oct 09 16:05:23 UTC 2025","passed","Thu Oct 09 16:05:34 UTC 2025","Checkout flow","e2e/checkout.spec.js","",""
"","155","should update a pet and validate status code and model","api","Thu Oct 09 16:04:50 UTC 2025","passed","Thu Oct 09 16:04:50 UTC 2025","UPDATE Pet Test","api/updatePet.spec.js","",""
"","2256","Complete checkout process with generated user data","chromium","Thu Oct 09 16:04:44 UTC 2025","passed","Thu Oct 09 16:04:46 UTC 2025","Checkout flow","e2e/checkout.spec.js","",""
"","413","should create and read pet data from response","api","Thu Oct 09 16:04:50 UTC 2025","passed","Thu Oct 09 16:04:50 UTC 2025","READ Pet Test","api/getPet.spec.js","",""
