"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15930","Add multiple products to cart and remove one","webkit","Thu Oct 09 12:42:41 UTC 2025","passed","Thu Oct 09 12:42:57 UTC 2025","Shopping cart functionality","e2e/shopping.spec.js","",""
"","2177","Add multiple products to cart and remove one","chromium","Thu Oct 09 12:42:32 UTC 2025","passed","Thu Oct 09 12:42:34 UTC 2025","Shopping cart functionality","e2e/shopping.spec.js","",""
"","513","should create and read pet data from response","api","Thu Oct 09 12:42:38 UTC 2025","passed","Thu Oct 09 12:42:38 UTC 2025","READ Pet Test","api/getPet.spec.js","",""
"","147","should update a pet and validate status code and model","api","Thu Oct 09 12:42:39 UTC 2025","passed","Thu Oct 09 12:42:39 UTC 2025","UPDATE Pet Test","api/updatePet.spec.js","",""
"","406","should create a pet and validate status code and model","api","Thu Oct 09 12:42:38 UTC 2025","passed","Thu Oct 09 12:42:38 UTC 2025","CREATE Pet Test","api/createPet.spec.js","",""
"","2257","Successful login and logout","chromium","Thu Oct 09 12:42:32 UTC 2025","passed","Thu Oct 09 12:42:34 UTC 2025","Login and logout functionality","e2e/login.spec.js","",""
"","4526","Successful login and logout","firefox","Thu Oct 09 12:41:47 UTC 2025","passed","Thu Oct 09 12:41:52 UTC 2025","Login and logout functionality","e2e/login.spec.js","",""
"","16585","Complete checkout process with generated user data","webkit","Thu Oct 09 12:42:41 UTC 2025","passed","Thu Oct 09 12:42:58 UTC 2025","Checkout flow","e2e/checkout.spec.js","",""
"","4427","Add multiple products to cart and remove one","firefox","Thu Oct 09 12:41:47 UTC 2025","passed","Thu Oct 09 12:41:52 UTC 2025","Shopping cart functionality","e2e/shopping.spec.js","",""
"","2333","Complete checkout process with generated user data","chromium","Thu Oct 09 12:42:32 UTC 2025","passed","Thu Oct 09 12:42:35 UTC 2025","Checkout flow","e2e/checkout.spec.js","",""
"","542","should delete a pet and validate status code","api","Thu Oct 09 12:42:38 UTC 2025","passed","Thu Oct 09 12:42:39 UTC 2025","DELETE Pet Test","api/deletePet.spec.js","",""
"","15569","Successful login and logout","webkit","Thu Oct 09 12:42:41 UTC 2025","passed","Thu Oct 09 12:42:57 UTC 2025","Login and logout functionality","e2e/login.spec.js","",""
"","4917","Complete checkout process with generated user data","firefox","Thu Oct 09 12:41:47 UTC 2025","passed","Thu Oct 09 12:41:52 UTC 2025","Checkout flow","e2e/checkout.spec.js","",""
